source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1003.005,Cached Domain Credentials,attack-pattern--6add2ab5-2711-4e9d-87c8-7a0be8531530,technique,"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)",relationship--6c1da818-6e35-4fa8-ad40-e45c2c90e016,29 May 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1078.004,Cloud Accounts,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,technique,"Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead. ",relationship--14039b88-3e1f-4d21-a0a0-968a15451db1,21 February 2023,16 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1003.006,DCSync,attack-pattern--f303a39a-6255-4b89-aecc-18c4d8ca7163,technique,"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication.(Citation: ADSecurity Mimikatz DCSync)(Citation: Microsoft Replication ACL)",relationship--7b641542-852b-47c0-a604-f13998adb892,19 February 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1558.001,Golden Ticket,attack-pattern--768dce68-8d0d-477a-b01d-0eea98b963a1,technique,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)",relationship--f6d6f916-ca2a-4c25-841f-02d71b31308c,27 February 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1552.006,Group Policy Preferences,attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e,technique,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025),relationship--b3a191f3-59be-4457-ad5c-085ea0391bfe,17 June 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1003,OS Credential Dumping,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,technique,"
Manage the access control list for “Replicating Directory Changes All” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)",relationship--fc31837d-530f-45e5-b9f8-bf6268c3ef03,17 July 2019,16 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1550.003,Pass the Ticket,attack-pattern--7b211ac6-c815-4189-93a9-ab415deca926,technique,"To contain the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it.(Citation: ADSecurity Kerberos and KRBTGT) For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)",relationship--918a7d67-faea-4a41-9ed3-e3558fca73db,30 January 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1606.002,SAML Tokens,attack-pattern--1f9c2bae-b441-4f66-a8af-b65946ee72f2,technique,"For containing the impact of a previously forged SAML token, rotate the token-signing AD FS certificate in rapid succession twice, which will invalidate any tokens generated using the previous certificate.(Citation: Mandiant Defend UNC2452 White Paper)",relationship--3278a7a8-bf61-45bc-9553-872f222f699d,22 January 2021,16 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1134.005,SID-History Injection,attack-pattern--b7dc639b-24cd-482d-a7f1-8897eda21023,technique,"Clean up SID-History attributes after legitimate account migration is complete.

Consider applying SID Filtering to interforest trusts, such as forest trusts and external trusts, to exclude SID-History from requests to access domain resources. SID Filtering ensures that any authentication requests over a trust only contain SIDs of security principals from the trusted domain (i.e preventing the trusted domain from claiming a user has membership in groups outside of the domain).

SID Filtering of forest trusts is enabled by default, but may have been disabled in some cases to allow a child domain to transitively access forest trusts. SID Filtering of external trusts is automatically enabled on all created external trusts using Server 2003 or later domain controllers. (Citation: Microsoft Trust Considerations Nov 2014) (Citation: Microsoft SID Filtering Quarantining Jan 2009) However note that SID Filtering is not automatically applied to legacy trusts or may have been deliberately disabled to allow inter-domain access to resources.

SID Filtering can be applied by: (Citation: Microsoft Netdom Trust Sept 2012)

* Disabling SIDHistory on forest trusts using the netdom tool (<code>netdom trust /domain: /EnableSIDHistory:no</code> on the domain controller)

* Applying SID Filter Quarantining to external trusts using the netdom tool (<code>netdom trust <TrustingDomainName> /domain:<TrustedDomainName> /quarantine:yes</code> on the domain controller)

* Applying SID Filtering to domain trusts within a single forest is not recommended as it is an unsupported configuration and can cause breaking changes. (Citation: Microsoft Netdom Trust Sept 2012) (Citation: AdSecurity Kerberos GT Aug 2015) If a domain within a forest is untrustworthy then it should not be a member of the forest. In this situation it is necessary to first split the trusted and untrusted domains into separate forests where SID Filtering can be applied to an interforest trust",relationship--2ebbb8a5-a5f2-495d-bdf3-c49701edb26b,18 February 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1072,Software Deployment Tools,attack-pattern--92a78814-b191-47ca-909c-1ccfe3777414,technique,Ensure proper system and access isolation for critical network systems through use of group policy.,relationship--147b8bb5-ca4e-455e-a5b9-f0ab118c67eb,18 July 2019,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1649,Steal or Forge Authentication Certificates,attack-pattern--7de1f7ac-5d0c-4c9c-8873-627202205331,technique,"Ensure certificate authorities (CA) are properly secured, including treating CA servers (and other resources hosting CA certificates) as tier 0 assets. Harden abusable CA settings and attributes.

For example, consider disabling the usage of AD CS certificate SANs within relevant authentication protocol settings to enforce strict user mappings and prevent certificates from authenticating as other identifies.(Citation: SpecterOps Certified Pre Owned) Also consider enforcing CA Certificate Manager approval for the templates that include SAN as an issuance requirement.",relationship--35228466-b834-474f-8657-a3492a3579b6,03 August 2022,16 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1558,Steal or Forge Kerberos Tickets,attack-pattern--3fc01293-ef5e-41c6-86ce-61f10706b64a,technique,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)",relationship--037b851b-7ced-4322-a57a-9f744f9a1e76,28 February 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1552,Unsecured Credentials,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517,technique,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025),relationship--2b36db33-4f97-4228-bcca-4f453d1bd533,04 February 2020,28 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1550,Use Alternate Authentication Material,attack-pattern--51a14c76-dd3b-440b-9c20-2bf91d25a814,technique,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc.",relationship--868a59bb-27ed-4c54-8de0-54fcc22e911e,01 March 2024,16 April 2025
M1015,Active Directory Configuration,course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,mitigation,mitigates,T1078,Valid Accounts,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,technique,"Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead.",relationship--eed29e0f-59c1-4fab-8268-3f0571e90748,14 April 2023,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.010,Command Obfuscation,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377,technique,Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. ,relationship--f12b1234-4eb8-4b3d-8b84-50df8dfa8df9,14 March 2023,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1059,Command and Scripting Interpreter,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,technique,Anti-virus can be used to automatically quarantine suspicious files. ,relationship--8d56622d-547a-4daa-89b8-1c555d1ac5b7,23 June 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.015,Compression,attack-pattern--fbd91bfc-75c2-4f0c-8116-3b4e722906b3,technique,"Anti-virus can be used to automatically detect and quarantine suspicious files. Consider anti-virus products capable of unpacking and inspecting compressed files recursively, as well as analyzing SFX archives. ",relationship--0b1d3aa7-eae6-4ab3-89ca-e4771696975e,04 March 2025,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.009,Embedded Payloads,attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,technique,Anti-virus can be used to automatically detect and quarantine suspicious files.,relationship--2ee0c642-94af-491c-bc65-821e13586bca,18 October 2022,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.013,Encrypted/Encoded File,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,technique,"Anti-virus can be used to automatically detect and quarantine suspicious files, including those with high entropy measurements or with otherwise potentially malicious signs of obfuscation.",relationship--85f30e9c-08f6-48d6-a25d-47ef1c51ebab,29 March 2024,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1564.012,File/Path Exclusions,attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,technique,"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible.(Citation: Microsoft File Folder Exclusions)",relationship--3d24da0a-7124-4043-881b-da19436c007c,29 March 2024,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1564,Hide Artifacts,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8,technique,"Review and audit file/folder exclusions, and limit scope of exclusions to only what is required where possible.(Citation: Microsoft File Folder Exclusions)",relationship--a4139ea2-b04d-472a-9daa-0ff3eb5586ce,29 March 2024,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.016,Junk Code Insertion,attack-pattern--671cd17f-a765-48fd-adc4-dad1941b1ae3,technique,"Anti-virus can be used to automatically detect and quarantine suspicious files. Behavior-based detections, rather than reliance on static code analysis, may help to identify malicious files that rely heavily on junk code.(Citation: ReasonLabs)",relationship--a5b3e4ab-3150-4dc0-b78a-e26b4c04d796,05 March 2025,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1547.006,Kernel Modules and Extensions,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,technique,"Common tools for detecting Linux rootkits include: rkhunter (Citation: SourceForge rkhunter), chrootkit (Citation: Chkrootkit Main), although rootkits may be designed to evade certain detection tools.",relationship--9fa87ff9-ee4a-4660-8cd8-b2b3da820b1f,24 January 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.012,LNK Icon Smuggling,attack-pattern--887274fc-2d63-4bdc-82f3-fae56d1d5fdc,technique,Use signatures or heuristics to detect malicious LNK and subsequently downloaded files.,relationship--668b73fd-0b71-49a5-a756-5213c0bcf6d5,29 September 2023,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1036.008,Masquerade File Type,attack-pattern--208884f1-7b83-4473-ac22-4e1cf6c41471,technique,Anti-virus can be used to automatically quarantine suspicious files. ,relationship--1596b872-504f-41f2-b9e4-918c795f0050,08 March 2023,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1036,Masquerading,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,technique,Anti-virus can be used to automatically quarantine suspicious files.,relationship--dc595175-bd4d-4409-829b-43c42b762647,11 April 2023,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027,Obfuscated Files or Information,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,technique,Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015),relationship--ffa8f46b-615f-4b95-8ed5-90f86eaedd20,25 June 2019,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1566,Phishing,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b,technique,Anti-virus can automatically quarantine suspicious files.,relationship--ed821f5e-9527-4fbb-ae76-37a79592dfb6,02 March 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.014,Polymorphic Code,attack-pattern--b577dfc1-0177-4522-8d5a-782127c8592b,technique,Anti-virus can be used to automatically detect and quarantine suspicious files. Employment of advanced anti-malware techniques that make use of technologies like machine learning and behavior-based mechanisms to conduct signature-less malware detection will also be more effective than traditional indicator-based detection methods. ,relationship--27993745-de4c-4ce0-b27d-cd591b0489c2,27 September 2024,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1059.001,PowerShell,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,technique,Anti-virus can be used to automatically quarantine suspicious files. ,relationship--758cbc32-6b33-4012-8622-cd7d218a799c,23 June 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1059.006,Python,attack-pattern--cc3502b5-30cc-4473-ad48-42d51a6ef6d1,technique,Anti-virus can be used to automatically quarantine suspicious files. ,relationship--70b511c9-5a2c-4810-87b6-73dfc648ec29,23 June 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1027.002,Software Packing,attack-pattern--deb98323-e13f-4b0c-8d94-175379069062,technique,Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware. ,relationship--a44728b1-9cb4-4307-8c4c-37b5acba536e,05 February 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,Anti-virus can also automatically quarantine suspicious files.,relationship--26d24472-ae04-46e7-9166-5d8a8f6f16f7,02 March 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1566.003,Spearphishing via Service,attack-pattern--f6ad61ee-65f3-4bd0-a3f5-2f0accb36317,technique,Anti-virus can also automatically quarantine suspicious files.,relationship--6c1c0c1e-91fb-4285-9656-8d452e630fb3,02 March 2020,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1080,Taint Shared Content,attack-pattern--246fd3c7-f5e3-466d-8787-4c13d9e3b61c,technique,Anti-virus can be used to automatically quarantine suspicious files.(Citation: Mandiant Cloudy Logs 2023),relationship--a2bda2c9-b4cb-4a4c-9fce-f8efbab38fa6,31 May 2023,16 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1221,Template Injection,attack-pattern--dc31fe1e-d722-49da-8f5f-92c7b5aff534,technique,"Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads.(Citation: Anomali Template Injection MAR 2018)",relationship--2357634d-3e93-41f3-90d5-91fe4d0deb7e,25 June 2019,28 April 2025
M1049,Antivirus/Antimalware,course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,mitigation,mitigates,T1059.005,Visual Basic,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,technique,Anti-virus can be used to automatically quarantine suspicious files. ,relationship--1461fa53-bc4f-4ae5-b131-3f6058e6a72a,23 June 2020,28 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1550.001,Application Access Token,attack-pattern--f005e783-57d4-4837-88ad-dbe7faee1c51,technique,"Consider implementing token binding strategies, such as Azure AD token protection or OAuth Proof of Possession, that cryptographically bind a token to a secret. This may prevent the token from being used without knowledge of the secret or possession of the device the token is tied to.(Citation: Microsoft Token Protection 2023)(Citation: Okta DPoP 2023)",relationship--9c41ad44-8a0f-40bc-b832-ad7aa99e5290,28 March 2024,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1593.003,Code Repositories,attack-pattern--70910fbd-58dc-4c1c-8c48-814d11fcd022,technique,Application developers uploading to public code repositories should be careful to avoid publishing sensitive information such as credentials and API keys.,relationship--aae309ee-9d15-4188-8f74-68c581a3a720,09 August 2022,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1195.001,Compromise Software Dependencies and Development Tools,attack-pattern--191cc6af-1bb2-4344-ab5f-28e496638720,technique,"Application developers should be cautious when selecting third-party libraries to integrate into their application. Additionally, where possible, developers should lock software dependencies to specific versions rather than pulling the latest version on build.(Citation: Cider Security Top 10 CICD Security Risks)",relationship--ef48b966-327f-4795-a1d0-4baf949fad2f,24 March 2024,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1574.001,DLL,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,technique,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries. ",relationship--e575c5f9-c9ff-4b84-920a-c483d9442c3a,30 January 2025,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1212,Exploitation for Credential Access,attack-pattern--9c306d8d-cde7-4b4c-b6e8-d0bb16caca36,technique,"Application developers should consider taking measures to validate authentication requests by enabling one-time passwords, providing timestamps or sequence numbers for messages sent, using digital signatures, and/or using random session keys.(Citation: Comparitech Replay Attack)(Citation: Bugcrowd Replay Attack)",relationship--6de628ac-2f5b-4563-8f54-c5243109221e,27 September 2023,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1564.012,File/Path Exclusions,attack-pattern--09b008a9-b4eb-462a-a751-a0eb58050cd9,technique,"Application developers should consider limiting the requirements for custom or otherwise difficult to manage file/folder exclusions. Where possible, install applications to trusted system folder paths that are already protected by restricted file and directory permissions.",relationship--7acdcde3-1065-4393-ae6b-80ac95b2607d,29 March 2024,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1564,Hide Artifacts,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8,technique,"Application developers should consider limiting the requirements for custom or otherwise difficult to manage file/folder exclusions. Where possible, install applications to trusted system folder paths that are already protected by restricted file and directory permissions.",relationship--508cef53-f7ff-4e64-9ab3-dedefbba697b,29 March 2024,16 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1574,Hijack Execution Flow,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6,technique,"When possible, include hash values in manifest files to help prevent side-loading of malicious libraries.(Citation: FireEye DLL Side-Loading)",relationship--4f806196-7c20-4923-ae01-8f0f7f27a4a7,01 April 2021,28 April 2025
M1013,Application Developer Guidance,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,mitigation,mitigates,T1559,Inter-Process Communication,attack-pattern--acd0ba37-7ba9-4cc5-ac61-796586cd856d,technique,Enable the Hardened Runtime capability when developing applications. Do not include the <code>com.apple.security.get-task-allow</code> entitlement with the value set to any variation of true. ,relationship--f60e5a0d-cfdf-4c4e-be35-af5a2bdbc131,20 April 2022,16 April 2025
